time="2022-08-03T08:20:15Z" level=info msg="Logger Configuration." fields.level=debug path=./log
time="2022-08-03T08:20:15Z" level=info msg="switch line" chain=CHIA type=ws url="chiapp-sh1[default]"
time="2022-08-03T08:20:15Z" level=debug msg="add path" path=/mnt/plots/driver0
time="2022-08-03T08:20:15Z" level=debug msg="add path" path=/mnt/plots/driver1
time="2022-08-03T08:20:15Z" level=debug msg="load path" count=147 path=/mnt/plots/driver0
time="2022-08-03T08:20:15Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-10-18-d0751b8301d642227d25a13f152139428e65e3f971904e7ae8a19dfc7fc493be.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-10-42-326e56ceb29f45dfb26e7b077ca6f3534711a10a8bd24e8dabf0197ed55bf8d3.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-11-07-d750fdd365d16e8e960e319f8b8edfe53ac6e200c92f71f1de7f26830ef7ab74.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-11-31-ed0e02b7178c5602f1f7374787b5f9769feb6e8e20d29293ecc0cafaf18e1166.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-11-55-d801e3c7e0e09d44f42488fe3151a0b4037293dc34b2e2d1c982d9c4536b82db.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-12-19-9d94e0fec6cd2b02478575149e91afdf6cd5339e6bb0369363fd8f1a420e7e4f.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-12-44-8c0e9a52caa09d3f3928e6b4bfc3dbcc57af67dea9d9fa24af4f133fbdba48d1.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-13-08-6b56b547b8368968cf50bb53d592b7dde389db74766aa5d2eb866676ee177369.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-13-32-868f30a119ed7d9b18eb9a2d620569cdfb0c837a06caf9e681f35f14705ba32e.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-13-56-5b7946c37bebed0192c1c49f5034ce9e2015e1e4d6f66ba8b8befab2ad1c740d.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-14-20-cb5f3468961dceab98c39dc5020e63d75e7a596cef419e4f9d5ebb3c8001c96c.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-14-45-981b137ccf49c3334d8ac97421ed64e0e9f7a903294ac69c6eddfe58bf99ebc6.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-15-09-60625e8e9ada8c423a3dd1b0e4a87f805cc44e8eb75428f648fcfe75c9fbd242.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-28-15-57-a9cbc8a8f5b049b4bba1779cecb7d288deb7c14a5397aeb932234cf22a3a52d6.plot
time="2022-08-03T08:20:16Z" level=error msg="add plot file" error="Invalid plot header magic" f7="{loggers.go,logging.CPrint,168}" f8="{plotterSpace.go,chia.(*PlotterSpace).Load,259}" f9="{asm_amd64.s,runtime.goexit,1581}" file=/mnt/plots/driver0/plot-k32-2022-07-28-15-57-a9cbc8a8f5b049b4bba1779cecb7d288deb7c14a5397aeb932234cf22a3a52d6.plot
